Calendar Year,County,Juvenile Population,Violent Felony,Other Felony,Misd.,VOP,Status,Other CINS,Referrals,"Referral Rate/1,000",Youth Referred
2013,ANDERSON,4567,7,5,13,10,3,0,38,8.320560543,32
2014,ANDERSON,4564,10,8,40,18,1,0,77,16.87116564,63
2015,ANDERSON,4642,7,10,24,3,2,0,46,10,40
2016,ANDERSON,4621,11,17,12,11,0,0,51,11.04,40
2017,ANDERSON,4610,11,10,23,8,0,0,52,11.28,42
2018,ANDERSON,4586,11,8,29,10,2,0,60,13,36
2019,ANDERSON,4581,15,4,6,9,0,0,34,7,28
2020,ANDERSON,4503,5,7,3,3,0,0,18,4,15
2021,ANDERSON,4488,1,5,4,1,0,0,11,2.450980392,10
2013,ANDREWS,1670,7,24,17,6,0,1,55,32.93413174,48
2014,ANDREWS,1675,3,12,31,15,3,5,69,41.19402985,55
2015,ANDREWS,1706,3,16,40,17,0,0,76,45,60
2016,ANDREWS,1721,10,21,36,17,1,0,85,49.39,68
2017,ANDREWS,1774,5,10,28,22,3,2,70,39.46,48
2018,ANDREWS,1780,8,8,38,17,1,0,72,40,53
2019,ANDREWS,1792,4,12,38,10,0,0,64,36,54
2020,ANDREWS,1820,2,17,26,6,0,1,52,29,44
2021,ANDREWS,1838,3,19,23,6,0,0,51,27.74755169,43
2013,ANGELINA,9189,22,43,101,21,0,1,188,20.45924475,144
2014,ANGELINA,9161,13,43,103,25,0,0,184,20.08514354,135
2015,ANGELINA,9186,27,26,96,25,1,0,175,19,140
2016,ANGELINA,9285,17,35,82,17,0,0,151,16.26,124
2017,ANGELINA,9310,20,38,60,20,0,0,138,14.82,116
2018,ANGELINA,9335,35,39,97,13,0,0,184,20,154
2019,ANGELINA,9366,39,45,62,35,0,0,181,19,130
2020,ANGELINA,9361,17,32,37,22,0,0,108,12,94
2021,ANGELINA,9371,25,33,62,15,0,1,136,14.51285882,110
2013,ARANSAS,1705,2,7,23,24,0,0,56,32.84457478,32
2014,ARANSAS,1701,6,12,32,9,0,3,62,36.44914756,46
2015,ARANSAS,1670,9,2,13,7,1,4,36,22,26
2016,ARANSAS,1656,6,8,18,5,0,2,39,23.55,35
2017,ARANSAS,1671,0,5,6,5,0,0,16,9.58,13
2018,ARANSAS,1684,7,5,18,6,0,0,36,21,30
2019,ARANSAS,1709,5,5,20,1,0,0,31,18,27
2020,ARANSAS,1738,1,4,7,1,0,0,13,7,13
2021,ARANSAS,1752,2,7,8,1,0,0,18,10.2739726,18
2013,ARCHER,947,1,1,4,0,0,0,6,6.335797254,5
2014,ARCHER,924,0,0,0,0,0,0,0,0,0
2015,ARCHER,915,0,0,2,0,0,0,2,2,2
2016,ARCHER,882,2,0,3,0,0,0,5,5.67,5
2017,ARCHER,843,0,2,11,0,0,0,13,15.42,11
2018,ARCHER,815,0,1,4,0,0,0,5,6,5
2019,ARCHER,788,0,0,2,0,0,0,2,3,2
2020,ARCHER,764,1,0,1,0,0,1,3,4,3
2021,ARCHER,726,1,2,1,1,0,0,5,6.887052342,5
2013,ARMSTRONG,159,0,0,0,0,0,0,0,0,0
