County,Region,State
ANDERSON,North Texas,TX
ANDREWS,North Texas,TX
ANGELINA,Deep East Texas,TX
ARANSAS,North Texas,TX
ARCHER,North Texas,TX
ARMSTRONG,North Texas,TX
ATASCOSA,North Texas,TX
AUSTIN,North Texas,TX
BAILEY,North Texas,TX
BANDERA,North Texas,TX
BASTROP,North Texas,TX
BAYLOR,North Texas,TX
BEE,North Texas,TX
BELL,Central Texas,TX
BEXAR,Alamo,TX
BLANCO,North Texas,TX
BORDEN,North Texas,TX
BOSQUE,North Texas,TX
BOWIE,North East Texas,TX
BRAZORIA,Gulf Coast,TX
BRAZOS,Central Texas,TX
BREWSTER,North Texas,TX
BRISCOE,North Texas,TX
BROOKS,North Texas,TX
BROWN,North Texas,TX
BURLESON,North Texas,TX
BURNET,North Texas,TX
CALDWELL,North Texas,TX
CALHOUN,North Texas,TX
CALLAHAN,North Texas,TX
CAMERON,South Texas,TX
CAMP,North Texas,TX
CARSON,North Texas,TX
CASS,North Texas,TX
CASTRO,North Texas,TX
CHAMBERS,North Texas,TX
CHEROKEE,North Texas,TX
CHILDRESS,North Texas,TX
CLAY,North Texas,TX
COCHRAN,North Texas,TX
COKE,North Texas,TX
COLEMAN,North Texas,TX
COLLIN,Metroplex,TX
COLLINGSWORTH,North Texas,TX
COLORADO,North Texas,TX
COMAL,Alamo,TX
COMANCHE,North Texas,TX
CONCHO,North Texas,TX
COOKE,North Texas,TX
CORYELL,North Texas,TX
COTTLE,North Texas,TX
CRANE,North Texas,TX
CROCKETT,North Texas,TX
CROSBY,North Texas,TX
CULBERSON,North Texas,TX
DALLAM,East Texas,TX
DALLAS,Metroplex,TX
DAWSON,East Texas,TX
DE WITT,East Texas,TX
DEAF SMITH,East Texas,TX
DELTA,East Texas,TX
DENTON,Metroplex,TX
DICKENS,East Texas,TX
DIMMIT,East Texas,TX
DONLEY,East Texas,TX
DUVAL,East Texas,TX
EASTLAND,East Texas,TX
ECTOR,Permian Basin,TX
EDWARDS,East Texas,TX
EL PASO,Upper Rio Grande,TX
ELLIS,Metroplex,TX
ERATH,East Texas,TX
FALLS,East Texas,TX
FANNIN,East Texas,TX
FAYETTE,East Texas,TX
FISHER,East Texas,TX
FLOYD,East Texas,TX
FOARD,East Texas,TX
FORT BEND,Gulf Coast,TX
FRANKLIN,East Texas,TX
FREESTONE,East Texas,TX
FRIO,East Texas,TX
GAINES,Central Texas,TX
GALVESTON,Gulf Coast,TX
GARZA,Central Texas,TX
GILLESPIE,Central Texas,TX
